epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,1076.95,0.6864,1.011,0.5049,0.85271,0.93767,0.90541,0.96182,0.72183,0.92572,0.89189,0.95608,0.71174,0.80965,1.05579,0.49906,0.90732,0.0007328,0.0007328,0.0007328
66,1094.27,0.7452,1.17487,0.54676,0.87647,0.96871,0.91892,0.96675,0.69118,0.95862,0.93915,0.97393,0.70395,0.8817,1.09013,0.54084,0.90453,0.000713,0.000713,0.000713
67,1112.14,0.71442,1.07042,0.50805,0.86501,0.94197,0.93243,0.96565,0.71616,0.94197,0.93243,0.96271,0.72257,0.83507,1.01422,0.53939,0.89137,0.0006932,0.0006932,0.0006932
68,1128.6,0.67513,1.02262,0.49642,0.85398,0.98569,0.93079,0.98026,0.69785,0.97124,0.9127,0.97497,0.72522,0.90038,1.08146,0.55157,0.90507,0.0006734,0.0006734,0.0006734
69,1145.32,0.67156,1.00805,0.48174,0.84431,0.97536,0.93243,0.98599,0.70993,0.96536,0.91892,0.97579,0.72482,0.87074,1.04133,0.54908,0.89761,0.0006536,0.0006536,0.0006536
70,1161.55,0.68681,1.05384,0.49912,0.85406,0.95313,0.93243,0.96755,0.69881,0.95313,0.93243,0.96755,0.71743,0.88849,1.0614,0.49105,0.90539,0.0006338,0.0006338,0.0006338
71,1177.72,0.65731,1.03422,0.48985,0.8462,0.965,0.89189,0.96967,0.71077,0.96929,0.89189,0.97313,0.71711,0.84938,1.05399,0.48714,0.90134,0.000614,0.000614,0.000614
72,1194.08,0.71425,1.07317,0.5093,0.87275,0.96639,0.86486,0.93051,0.67963,0.98149,0.87838,0.95678,0.71794,0.88465,1.0753,0.51589,0.91863,0.0005942,0.0005942,0.0005942
73,1209.71,0.66004,1.05846,0.48842,0.84913,0.95498,0.86004,0.94502,0.69288,0.96838,0.90541,0.97208,0.71876,0.85667,1.04751,0.49945,0.91314,0.0005744,0.0005744,0.0005744
74,1225.91,0.7033,1.10709,0.49833,0.87053,0.99142,0.91892,0.98177,0.73322,0.97684,0.90541,0.97057,0.72816,0.83143,1.01505,0.4875,0.89539,0.0005546,0.0005546,0.0005546
